1930,"Tintin aux pays des soviets"
1931,"Tintin au Congo"
1932,"Tintin en Amérique"
1934,"Les cigares du pharaon"
1936,"Le lotus bleu"
1937,"L'oreille cassé"
1938,"L'île noire"
1939,"Le Sceptre d'Ottokar"
1941,"Le crabe aux pinces d'or"
1942,"L'étoile mystérieuse"
1943,"Le secret de la Licorne"
1944,"Le trésor de Rackham le Rouge"
1948,"Les 7 boules de cristal"
1949,"Le temple du soleil"
1950,"Tintin au pays de l'or noir"
1953,"Objectif lune"
1954,"On a marché sur la lune"
1956,"L'affaire Tournesol"
1958,"Coke en stock"
1960,"Tintin au Tibet"
1963,"Les bijoux de la Castafiore"
1968,"Vol 714 pour Sydney"